|------------------------------------------------------------------------------------------|
|                                      WinMTR statistics                                   |
|                       Host              -   %  | Sent | Recv | Best | Avrg | Wrst | Last |
|------------------------------------------------|------|------|------|------|------|------|
|                      Request timed out. -  100 |   54 |    0 |    0 |    0 |    0 |    0 |
|                             9.128.2.129 -    0 |  273 |  273 |   77 |   85 |  230 |   81 |
|                            43.251.246.1 -    0 |  273 |  273 |   82 |   90 |  215 |   82 |
|                             10.2.17.162 -    0 |  273 |  273 |   86 |   94 |  266 |   88 |
|                             10.2.17.161 -    0 |  273 |  273 |   91 |  102 |  464 |  101 |
|                      Request timed out. -  100 |   54 |    0 |    0 |    0 |    0 |    0 |
|                            10.32.141.43 -    0 |  273 |  273 |   86 |   94 |  342 |   92 |
|________________________________________________|______|______|______|______|______|______|
   WinMTR v1.00 GPLv2 (original by Appnor MSP - Fully Managed Hosting & Cloud Provider)
