OID=.1.3.6.1.2.1.1.1.0, Type=OctetString, Value=SNMP Card for HUAWEI UPS2000
OID=.1.3.6.1.2.1.1.2.0, Type=OID, Value=1.3.6.1.4.1.2011.6.174.4.1.2.5
OID=.1.3.6.1.2.1.1.3.0, Type=TimeTicks, Value=191 days, 20:33:50.14
OID=.1.3.6.1.2.1.1.4.0, Type=OctetString, Value=Not Configure System Contact
OID=.1.3.6.1.2.1.1.5.0, Type=OctetString, Value=ups2000
OID=.1.3.6.1.2.1.1.6.0, Type=OctetString, Value=Not Configure System Location
OID=.1.3.6.1.2.1.1.8.0, Type=TimeTicks, Value=0:00:00.26
OID=.1.3.6.1.2.1.1.9.1.2.1, Type=OID, Value=1.3.6.1.6.3.1
OID=.1.3.6.1.2.1.1.9.1.2.2, Type=OID, Value=1.3.6.1.6.3.16.2.2.1
OID=.1.3.6.1.2.1.1.9.1.2.3, Type=OID, Value=1.3.6.1.6.3.11.3.1.1
OID=.1.3.6.1.2.1.1.9.1.2.4, Type=OID, Value=1.3.6.1.6.3.15.2.1.1
OID=.1.3.6.1.2.1.1.9.1.2.5, Type=OID, Value=1.3.6.1.6.3.10.3.1.1
OID=.1.3.6.1.2.1.1.9.1.3.1, Type=OctetString, Value=The MIB module for SNMPv2 entities
OID=.1.3.6.1.2.1.1.9.1.3.2, Type=OctetString, Value=View-based Access Control Model for SNMP.
OID=.1.3.6.1.2.1.1.9.1.3.3, Type=OctetString, Value=The MIB for Message Processing and Dispatching.
OID=.1.3.6.1.2.1.1.9.1.3.4, Type=OctetString, Value=The management information definitions for the SNMP User-based Security Mode
l.
OID=.1.3.6.1.2.1.1.9.1.3.5, Type=OctetString, Value=The SNMP Management Architecture MIB.
OID=.1.3.6.1.2.1.1.9.1.4.1, Type=TimeTicks, Value=0:00:00.23
OID=.1.3.6.1.2.1.1.9.1.4.2, Type=TimeTicks, Value=0:00:00.25
OID=.1.3.6.1.2.1.1.9.1.4.3, Type=TimeTicks, Value=0:00:00.26
OID=.1.3.6.1.2.1.1.9.1.4.4, Type=TimeTicks, Value=0:00:00.26
OID=.1.3.6.1.2.1.1.9.1.4.5, Type=TimeTicks, Value=0:00:00.26
OID=.1.3.6.1.2.1.11.1.0, Type=Counter32, Value=86257        
OID=.1.3.6.1.2.1.11.2.0, Type=Counter32, Value=6717
OID=.1.3.6.1.2.1.11.3.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.4.0, Type=Counter32, Value=79539        
OID=.1.3.6.1.2.1.11.5.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.6.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.8.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.9.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.10.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.11.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.12.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.13.0, Type=Counter32, Value=11859
OID=.1.3.6.1.2.1.11.14.0, Type=Counter32, Value=0    
OID=.1.3.6.1.2.1.11.15.0, Type=Counter32, Value=6522 
OID=.1.3.6.1.2.1.11.16.0, Type=Counter32, Value=0    
OID=.1.3.6.1.2.1.11.17.0, Type=Counter32, Value=0    
OID=.1.3.6.1.2.1.11.18.0, Type=Counter32, Value=0    
OID=.1.3.6.1.2.1.11.19.0, Type=Counter32, Value=0    
OID=.1.3.6.1.2.1.11.20.0, Type=Counter32, Value=0    
OID=.1.3.6.1.2.1.11.21.0, Type=Counter32, Value=0    
OID=.1.3.6.1.2.1.11.22.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.24.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.25.0, Type=Counter32, Value=0
OID=.1.3.6.1.2.1.11.26.0, Type=Counter32, Value=0
